Unnamed: 0,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2,area_por_quarto,tem_vaga
1997,2023-12-06 12:58:24.491319,Vivareal,2673903908,"Apartamento com 3 Quartos para Aluguel, 123m²",Apartamento,"Centro, Florianópolis - SC",,,Centro,florianopolis,5000,Mês,720.0,123.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-123m2-aluguel-RS5000-id-2673903908/,Mobiliado; Elevador; Varanda; Espaço gourmet; Área de serviço; ...,Residencial,5720.0,40.65040650406504,5.853658536585366,41.0,1
1998,2023-12-06 12:58:24.493026,Vivareal,2674039224,"Apartamento com 2 Quartos para Aluguel, 71m²",Apartamento,"Cachoeira do Bom Jesus, Florianópolis - SC",,,Cachoeira do Bom Jesus,florianopolis,2200,Mês,499.0,71.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-71m2-aluguel-RS2200-id-2674039224/,,Residencial,2699.0,30.985915492957748,7.028169014084507,35.5,1
1999,2023-12-06 12:58:25.269177,Vivareal,2654097566,"Apartamento com 3 Quartos para Aluguel, 101m²",Apartamento,"Rua Duarte Schutel, 61 - Centro, Florianópolis - SC",Rua Duarte Schutel,61.0, Centro,florianopolis,5000,Mês,654.0,101.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-101m2-aluguel-RS5000-id-2654097566/,Salão de festas; Elevador,Residencial,5654.0,49.50495049504951,6.475247524752476,33.666666666666664,1
2004,2023-12-06 12:58:25.278827,Vivareal,2648063763,"Apartamento com 2 Quartos para Aluguel, 79m²",Apartamento,"Rua São Francisco, 263 - Centro, Florianópolis - SC",Rua São Francisco,263.0, Centro,florianopolis,3000,Mês,1259.0,79.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-79m2-aluguel-RS3000-id-2648063763/,Elevador; Interfone; Área de serviço,Residencial,4259.0,37.9746835443038,15.936708860759492,39.5,1
2014,2023-12-06 12:58:25.296318,Vivareal,2662858815,"Casa com 2 Quartos para Aluguel, 220m²",Casa,"Rua João Henrique Gonçalves - Lagoa da Conceição, Florianópolis - SC",Rua João Henrique Gonçalves ,, Lagoa da Conceição,florianopolis,10500,Mês,0.0,220.0,3.0,2.0,2.0,https://vivareal.com.br/imovel/casa-2-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-220m2-aluguel-RS10500-id-2662858815/,,Residencial,10500.0,47.72727272727273,0.0,110.0,1
2017,2023-12-06 12:58:25.301780,Vivareal,2616791277,"Apartamento com 3 Quartos para Aluguel, 108m²",Apartamento,"Rua Doutor Armínio Tavares, 120 - Centro, Florianópolis - SC",Rua Doutor Armínio Tavares,120.0, Centro,florianopolis,19511,Mês,1520.0,108.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-108m2-aluguel-RS19511-id-2616791277/,Piscina; Varanda; Academia; Garagem; Área de serviço; ...,Residencial,21031.0,180.65740740740745,14.074074074074074,36.0,1
2018,2023-12-06 12:58:25.303563,Vivareal,2624123639,"Casa com 4 Quartos para Aluguel, 150m²",Casa,"Rua Vidal Gregório Pereira - Jardim Atlântico, Florianópolis - SC",Rua Vidal Gregório Pereira ,, Jardim Atlântico,florianopolis,14000,Mês,0.0,150.0,3.0,4.0,2.0,https://vivareal.com.br/imovel/casa-4-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-150m2-aluguel-RS14000-id-2624123639/,Varanda gourmet; Piscina; Espaço gourmet; Lavanderia,Residencial,14000.0,93.33333333333331,0.0,37.5,1
2024,2023-12-06 12:58:25.313688,Vivareal,2643989388,"Casa com 4 Quartos para Aluguel, 256m²",Casa,"Rua Araci Vaz Callado, 2186 - Canto, Florianópolis - SC",Rua Araci Vaz Callado,2186.0, Canto,florianopolis,4800,Mês,0.0,256.0,5.0,4.0,1.0,https://vivareal.com.br/imovel/casa-4-quartos-canto-bairros-florianopolis-256m2-aluguel-RS4800-id-2643989388/,Churrasqueira; Aceita animais; Ar-condicionado; Área de serviço; Cozinha; ...,Residencial,4800.0,18.75,0.0,64.0,1
2025,2023-12-06 12:58:25.315440,Vivareal,2654862572,"Casa com 4 Quartos para Aluguel, 247m²",Casa,"Estrada Vereador Onildo Lemos, 1260 - Ingleses do Rio Vermelho, Florianópolis - SC",Estrada Vereador Onildo Lemos,1260.0, Ingleses do Rio Vermelho,florianopolis,7060,Mês,0.0,247.0,4.0,4.0,1.0,https://vivareal.com.br/imovel/casa-4-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-247m2-aluguel-RS7060-id-2654862572/,Mobiliado; Churrasqueira; Condomínio fechado; Varanda; Garagem; ...,Residencial,7060.0,28.582995951417004,0.0,61.75,1
2027,2023-12-06 12:58:25.319036,Vivareal,2669334712,"Apartamento com 3 Quartos para Aluguel, 97m²",Apartamento,"Rua Olavo Bilac, 116 - Estreito, Florianópolis - SC",Rua Olavo Bilac,116.0, Estreito,florianopolis,4600,Mês,655.0,97.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-97m2-aluguel-RS4600-id-2669334712/,Garagem,Residencial,5255.0,47.422680412371136,6.752577319587629,32.333333333333336,1
