,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2
5456,2023-12-05 00:43:50.457011,Vivareal,2629201932,"Sala/Conjunto    para Aluguel, 32m²",Sala/Conjunto,"Centro, Florianópolis - SC",,,Centro,florianopolis,900,Mês,0.0,32.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-32m2-aluguel-RS900-id-2629201932/,Recepção,Residencial,900.0,28.125,0.0
5457,2023-12-05 00:43:50.458642,Vivareal,2662641858,"Apartamento com 2 Quartos para Aluguel, 67m²",Apartamento,"Joao Paulo, Florianópolis - SC",,,Joao Paulo,florianopolis,3000,Mês,700.0,67.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-67m2-aluguel-RS3000-id-2662641858/,,Residencial,3700.0,44.776119402985074,10.447761194029852
5458,2023-12-05 00:43:50.460221,Vivareal,2655715921,"Apartamento com 3 Quartos para Aluguel, 128m²",Apartamento,"Rua Madre Maria Vilac, 2329 - Canasvieiras, Florianópolis - SC",Rua Madre Maria Vilac,2329.0, Canasvieiras,florianopolis,2150,Dia,0.0,128.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-canasvieiras-bairros-florianopolis-com-garagem-128m2-aluguel-RS2150-id-2655715921/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...,Residencial,2150.0,16.796875,0.0
5459,2023-12-05 00:43:50.461776,Vivareal,2637235271,"Sala/Conjunto    para Aluguel, 27m²",Sala/Conjunto,"Rua Santos Saraiva, 840 - Estreito, Florianópolis - SC",Rua Santos Saraiva,840.0, Estreito,florianopolis,1100,Mês,0.0,27.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-estreito-bairros-florianopolis-27m2-aluguel-RS1100-id-2637235271/,,Residencial,1100.0,40.74074074074074,0.0
5460,2023-12-05 00:43:50.463373,Vivareal,2633609847,Cobertura com 3 Quartos para Venda/Aluguel 119m²,Cobertura,"Rua Valdemiro José Vieira, 65 - Campeche, Florianópolis - SC",Rua Valdemiro José Vieira,65.0, Campeche,florianopolis,7000,Mês,1100.0,119.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/cobertura-3-quartos-campeche-bairros-florianopolis-com-garagem-119m2-venda-RS1495000-id-2633609847/,Piscina; Mobiliado; Churrasqueira; Varanda; Ar-condicionado; ...,Residencial,8100.0,58.8235294117647,9.243697478991596
5461,2023-12-05 00:43:50.464962,Vivareal,2643761795,"Casa com 3 Quartos para Aluguel, 250m²",Casa,"Lagoa da Conceição, Florianópolis - SC",,,Lagoa da Conceição,florianopolis,23000,Mês,0.0,250.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/casa-3-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-250m2-aluguel-RS23000-id-2643761795/,,Residencial,23000.0,92.0,0.0
5462,2023-12-05 00:43:50.466601,Vivareal,2554410866,"Sala/Conjunto    para Aluguel, 37m²",Sala/Conjunto,"Rua Conselheiro Mafra - Centro, Florianópolis - SC",Rua Conselheiro Mafra ,, Centro,florianopolis,690,Mês,0.0,37.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-37m2-aluguel-RS690-id-2554410866/,,Residencial,690.0,18.64864864864865,0.0
5463,2023-12-05 00:43:50.468192,Vivareal,2635688232,"Ponto comercial/Loja/Box    para Aluguel, 60m²",Ponto,"Servidão das Palmeiras Nativas - Lagoa da Conceição, Florianópolis - SC",Servidão das Palmeiras Nativas ,, Lagoa da Conceição,florianopolis,3000,Mês,0.0,60.0,,,,https://vivareal.com.br/imovel/ponto-comercial-lagoa-da-conceicao-bairros-florianopolis-60m2-aluguel-RS3000-id-2635688232/,,Comercial,3000.0,50.0,0.0
5464,2023-12-05 00:43:50.469796,Vivareal,2665085515,"Sala/Conjunto    para Aluguel, 28m²",Sala/Conjunto,"Avenida Santa Catarina - Balneário, Florianópolis - SC",Avenida Santa Catarina ,, Balneário,florianopolis,1400,Mês,0.0,28.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-balneario-bairros-florianopolis-com-garagem-28m2-aluguel-RS1400-id-2665085515/,Garagem; Cozinha,Residencial,1400.0,50.0,0.0
5465,2023-12-05 00:43:50.471365,Vivareal,2651215452,"Cobertura com 3 Quartos para Aluguel, 196m²",Cobertura,"Avenida Campeche, 1830 - Campeche, Florianópolis - SC",Avenida Campeche,1830.0, Campeche,florianopolis,13600,Mês,1400.0,196.0,3.0,3.0,2.0,https://vivareal.com.br/imovel/cobertura-3-quartos-campeche-bairros-florianopolis-com-garagem-196m2-aluguel-RS13600-id-2651215452/,Piscina; Mobiliado; Varanda; Ar-condicionado; Área de serviço; ...,Residencial,15000.0,69.38775510204081,7.142857142857143
